Scenario,A*_Cost,A*_Time,A*_Nodes,ACO_Cost,ACO_Time,ACO_Nodes,QL_Cost,QL_Time,QL_Nodes
17,402.2890313146943,0.0,9,402.2890313146943,0.00399327278137207,350,558.4935170081297,0.009006738662719727,1275
18,137.7495794844945,0.0,5,137.7495794844945,0.003999471664428711,150,137.7495794844945,0.008999824523925781,1377
19,595.978130292696,0.0,7,612.654187688635,0.006000041961669922,380,613.2837958692982,0.018105506896972656,2783
20,187.2711746932148,0.0,7,311.2930289982581,0.007001161575317383,650,187.2711746932148,0.025174617767333984,3732
21,94.86967683622363,0.0,2,94.86967683622363,0.003999948501586914,75,94.86967683622363,0.0009996891021728516,182
22,383.06907343324934,0.0,20,385.9465141813524,0.006194353103637695,586,395.2599412038073,0.03227353096008301,4170
23,509.258650890986,0.0,39,570.908770883153,0.011998891830444336,1214,516.0864380722558,0.059999704360961914,8562
24,73.07470381246125,0.001001596450805664,3,73.07470381246125,0.003008127212524414,150,73.07470381246125,0.004991292953491211,795
25,48.864890328859474,0.0,5,48.864890328859474,0.005006551742553711,302,48.864890328859474,0.010993719100952148,1698
26,135.90224915461957,0.0,6,135.90224915461957,0.004000425338745117,245,135.90224915461957,0.018114089965820312,2614
27,307.299557168662,0.0009989738464355469,20,307.299557168662,0.0069997310638427734,624,473.395508445191,0.02700042724609375,4022
28,316.0280030885474,0.0,9,388.36590747805815,0.007002115249633789,630,511.1222374449607,0.025991201400756836,3762
29,79.25304803519951,0.0,4,79.25304803519951,0.003998756408691406,147,79.25304803519951,0.008000373840332031,1154
30,122.42800321667883,0.0,5,122.42800321667883,0.004999637603759766,346,122.42800321667883,0.021000146865844727,2907
31,258.2895969981941,0.0010001659393310547,14,315.88192210023254,0.011461496353149414,938,258.2895969981941,0.017995357513427734,2649
32,335.171408682034,0.0,17,388.96002053238414,0.00492095947265625,401,335.171408682034,0.026000022888183594,3859
33,240.4380250275284,0.0010066032409667969,5,240.4380250275284,0.0050029754638671875,312,261.1600273546088,0.029448509216308594,4335
34,778.9567375832564,0.0010001659393310547,44,921.1758630463964,0.009985208511352539,1002,899.362050770231,0.055007219314575195,7971
35,19.48093610223678,0.0,3,19.48093610223678,0.003999948501586914,152,19.48093610223678,0.003993511199951172,475
36,359.73583039895766,0.0,9,359.73583039895766,0.0040056705474853516,233,359.73583039895766,0.0030035972595214844,415
37,150.10782540940775,0.0,2,150.10782540940775,0.0029935836791992188,75,150.10782540940775,0.0,124
38,142.7547813033969,0.0010063648223876953,5,142.7547813033969,0.0049936771392822266,370,142.7547813033969,0.017008066177368164,2461
39,396.2926018092168,0.0,13,396.2926018092168,0.007998228073120117,736,396.2926018092168,0.018000125885009766,2563
40,436.1691248194409,0.0,5,436.1691248194409,0.0039937496185302734,300,436.1691248194409,0.024090051651000977,3517
41,49.557324141223766,0.0,3,49.557324141223766,0.004006385803222656,149,49.557324141223766,0.004160881042480469,748
42,343.75062953014634,0.0009937286376953125,16,347.99487345859825,0.006006717681884766,574,355.9630890389284,0.03099966049194336,4546
43,7.443351252879337,0.0,2,7.443351252879337,0.003009319305419922,75,7.443351252879337,0.007997989654541016,1150
44,271.6444783706607,0.0,10,271.6444783706607,0.005002260208129883,381,271.6444783706607,0.027096033096313477,3808
45,26.417824310672856,0.0,3,26.417824310672856,0.004086732864379883,150,28.179651245558855,0.0059947967529296875,776
46,171.37537638529608,0.0,4,171.37537638529608,0.004919528961181641,224,171.37537638529608,0.003999233245849609,622
47,63.6151627259523,0.0,5,63.6151627259523,0.003999233245849609,225,222.8782218816981,0.006002664566040039,599
48,391.7066915687435,0.0,11,453.43492507055475,0.005999565124511719,371,453.43492507055475,0.02000570297241211,2848
49,148.74379027072374,0.0,4,148.74379027072374,0.004002571105957031,225,148.74379027072374,0.011997222900390625,1809
50,301.13264371456535,0.0,19,361.2838851066854,0.00899362564086914,916,301.13264371456535,0.028007030487060547,4072
51,306.4708871362911,0.0,6,306.4708871362911,0.005079984664916992,300,306.4708871362911,0.009006500244140625,1398
52,87.76901797939323,0.0,6,104.00476771427753,0.006992816925048828,547,87.76901797939323,0.021007061004638672,3158
53,157.12568300269612,0.0,5,164.73177884072808,0.003993988037109375,227,164.73177884072808,0.008999347686767578,1416
54,76.43719379925992,0.0,4,76.43719379925992,0.003999948501586914,225,76.43719379925992,0.015081644058227539,2246
55,371.23270150262397,0.0009942054748535156,11,402.1479251591263,0.006934165954589844,531,402.1479251591263,0.008997201919555664,1320
56,225.67794270934823,0.0,9,243.25629251473976,0.0050051212310791016,310,225.67794270934823,0.020993709564208984,3160
57,252.42117793108164,0.0,7,252.42117793108164,0.004000186920166016,220,252.42117793108164,0.002994060516357422,406
58,58.79291669991385,0.0,2,58.79291669991385,0.0029997825622558594,75,58.79291669991385,0.007006168365478516,934
59,272.68567078913986,0.0,9,465.13133675845063,0.006999492645263672,626,272.68567078913986,0.02000260353088379,2988
60,71.30018618586287,0.0,5,71.30018618586287,0.004005908966064453,300,77.04518088969058,0.0049936771392822266,779
61,241.55157922974325,0.0,3,241.55157922974325,0.004000425338745117,184,241.55157922974325,0.015994787216186523,2307
62,1159.8687525863659,0.0009989738464355469,35,1208.7514193297425,0.009001016616821289,837,1476.0299956963845,0.0717461109161377,10063
63,68.96401020929011,0.0,5,68.96401020929011,0.005006313323974609,294,99.55824634524055,0.00700068473815918,1094
64,101.39498363355807,0.0,4,101.39498363355807,0.003000020980834961,152,101.39498363355807,0.014006853103637695,2037
65,29.06018821128336,0.0,2,29.06018821128336,0.003006458282470703,75,29.06018821128336,0.0,128
66,77.91751287985412,0.0009999275207519531,6,77.91751287985412,0.004243135452270508,221,284.82704867686044,0.017000198364257812,2459
67,67.1285796116066,0.0,2,67.1285796116066,0.0030057430267333984,75,67.1285796116066,0.015105724334716797,2116
68,343.19033778846324,0.0,10,343.19033778846324,0.0070002079010009766,509,343.19033778846324,0.025033950805664062,3751
69,117.2739823796584,0.0,7,117.2739823796584,0.005992889404296875,375,119.72822402935947,0.02223682403564453,3292
70,243.9792290821961,0.0,8,243.9792290821961,0.005926370620727539,485,243.9792290821961,0.020001888275146484,2989
71,54.432036641734626,0.0,5,54.432036641734626,0.00505375862121582,331,54.432036641734626,0.016009092330932617,2371
72,200.75601744498647,0.0,9,263.97286067543723,0.004992961883544922,384,200.75601744498647,0.029000520706176758,4328
73,157.50975042900046,0.0010077953338623047,5,157.50975042900046,0.0049915313720703125,305,157.50975042900046,0.031000852584838867,4491
74,66.19629566369652,0.0,3,66.19629566369652,0.003992795944213867,187,66.19629566369652,0.0029993057250976562,393
75,63.58049493428861,0.0,4,63.58049493428861,0.0050008296966552734,235,63.58049493428861,0.009999275207519531,1432
76,27.568845428464343,0.0,3,27.568845428464343,0.004000186920166016,150,27.568845428464343,0.020009756088256836,2895
77,399.4718856913976,0.0,25,502.7242946982981,0.00899648666381836,930,448.81893710150933,0.03320193290710449,4782
78,66.20038909235626,0.0,3,66.20038909235626,0.002994537353515625,150,66.20038909235626,0.014005899429321289,1990
79,378.7498382464558,0.0,14,378.7498382464558,0.005000114440917969,482,405.77941876208166,0.04499387741088867,6504
80,499.1975891814835,0.0,26,512.5258352629684,0.009999513626098633,1005,499.2904430027517,0.056171417236328125,8179
81,141.66677342570046,0.0,4,141.66677342570046,0.004008054733276367,235,141.66677342570046,0.022099733352661133,3136
82,96.20462730289515,0.0,2,96.20462730289515,0.004008293151855469,75,96.20462730289515,0.0019979476928710938,351
83,320.77296840170163,0.0,6,320.77296840170163,0.005000114440917969,357,320.77296840170163,0.01699352264404297,2653
84,229.4624675674647,0.0010082721710205078,9,229.6636118272554,0.005991697311401367,446,229.6636118272554,0.009999275207519531,1436
85,251.87810507296655,0.0,10,251.87810507296655,0.006007194519042969,459,251.87810507296655,0.02099299430847168,3054
86,224.46964503735757,0.0,3,224.46964503735757,0.004144906997680664,192,224.46964503735757,0.013000011444091797,1785
87,45.22703276976098,0.0,4,45.22703276976098,0.00417780876159668,261,45.22703276976098,0.017263412475585938,2448
88,21.956947615377846,0.0,2,21.956947615377846,0.004111051559448242,75,21.956947615377846,0.003000497817993164,525
89,123.49269827671407,0.0009996891021728516,3,123.49269827671407,0.004000186920166016,150,123.49269827671407,0.008037090301513672,1262
90,192.3517817013486,0.0,5,192.3517817013486,0.004006385803222656,300,192.3517817013486,0.04299473762512207,6368
91,509.31271286518154,0.0,19,591.1048820738663,0.007148265838623047,581,546.9015858918258,0.0429997444152832,6075
92,40.90010154186919,0.0010077953338623047,4,40.90010154186919,0.004992961883544922,290,65.20414947919856,0.00899958610534668,1342
93,43.25811363628881,0.0010080337524414062,5,43.25811363628881,0.004000186920166016,225,43.25811363628881,0.018999814987182617,2836
94,201.4550037428948,0.0,3,201.4550037428948,0.004006385803222656,153,201.4550037428948,0.023993730545043945,3486
95,391.260109040836,0.0,27,391.260109040836,0.0060062408447265625,457,391.260109040836,0.05799508094787598,8603
96,457.8129540268002,0.0,13,628.6158352791049,0.008984088897705078,871,457.8129540268002,0.021113872528076172,2978
97,34.64512872006895,0.0,4,34.64512872006895,0.00484013557434082,227,72.91907363823155,0.0039937496185302734,460
98,96.53081676789876,0.0,6,96.53081676789876,0.005991220474243164,305,104.00079977041776,0.02400660514831543,3581
99,107.68533366638994,0.0,4,107.68533366638994,0.0030028820037841797,188,107.68533366638994,0.013997077941894531,2129
100,78.76275504861772,0.0009999275207519531,2,78.76275504861772,0.0030019283294677734,75,78.76275504861772,0.0039920806884765625,628
